canonical_service_key,db_id,admin_display_name,customer_display_name,website_quote_form_name,estimator_agent_terminology,invoice_line_item_name,status,residential_eligible,commercial_eligible,one_time_or_recurring,visit_frequency,actual_annual_visit_count,unit_of_pricing,required_estimator_inputs,optional_modifiers,labor_formula,material_formula,protocol_linkage,inventory_linkage,equipment_linkage,minimum_price,floor,cap,target_margin,margin_floor,discount_eligibility,waveguard_eligibility,tax_treatment,deposit_treatment,annual_prepay_treatment,manual_fallback_behavior,test_coverage,known_gaps,recommended_action,owner_decision_required
termite_monitoring,dffdcc9a-82a4-481d-9881-c062779c0b06,(legacy),Termite Monitoring Service,n/a,n/a,'Termite Monitoring Service',active,yes,no,recurring,quarterly,4,none (no pricer; docs say $99/ea),none,none,none,none,none,none,none,none,none,none,n/a,n/a,none,no,exempt,retired,n/a,manual,none,legacy row overlapping termite_bait monitoring,archive or map,Adam: retire?
termite_active_annual,05794a88-6ce5-42f9-a36a-d1e3435525e9,n/a,Annual Termite Active Bait Station Service,n/a,n/a,'Annual Termite Active Bait Station Service',active (not selectable),yes,no,recurring,annual,1,none (no pricer),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,name says Annual with visits_per_year=1 but label-first cadence parser risk,archive or map,Adam: retire?
termite_active_bait_quarterly,fa0584e4-e293-467d-b508-1b9c0b97c1e5,n/a,Quarterly Termite Active Bait Station Service,n/a,n/a,same,active (not selectable),yes,no,recurring,quarterly,4,none,-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,no pricer,archive or map,Adam: retire?
termite_installation_setup,92635e9b-5bf9-47cf-8607-de477ac551b5,n/a,Termite Installation Setup Service,n/a,n/a,same,active (not selectable),yes,no,one-time,n/a,1,none (install is inside termite_bait),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,duplicate of the termite_bait install line,archive,none
termite_cartridge_replacement,808a856d-f2d3-420e-837a-89a2815fcb32,n/a,Termite Bait Station Cartridge Replacement Service,n/a,n/a,same,active (not selectable),yes,no,one-time,n/a,as needed,none,-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,cartridge cost ($384/16) not in any pricer,map to monitoring economics,none
termite_renewal,50c0ce85-4e33-4f4b-b1c1-090c5b12a748,n/a,Termite Warranty Renewal Service,n/a,n/a,same,active (not selectable),yes,no,recurring,annual,1,none (trenching renewal $325 lives on the trenching line),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,referenced by renewal-reminder workflow,keep as billing construct; document,none
termite_liquid,57c57509-6d6f-4e21-8e72-2620a2dbbebe,n/a,Termite Liquid Treatment Service,n/a,n/a,same,active (quote-selectable),yes,no,one-time,n/a,1,none (no pricer; trenching is the priced liquid barrier),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,quote-selectable with no price path,map to trenching or hide,Adam: retire?
termite_pretreatment,600e06c0-4298-4618-a562-a9384b3e6a6e,n/a,Termite Pretreatment Service,n/a,n/a,same,active (quote-selectable),yes,no,one-time,n/a,1,none (pre-slab is the priced pretreat),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,duplicate of termite_slab_pretreat without a pricer,merge/hide,none
termite_slab_pretreat,cbe5a576-19b4-4129-829d-96fe6d073413,Pre-Slab (svcPreslab),Pre-Slab Termiticide Treatment / Pre-Slab Termidor,preSlab,n/a (composer excludes),'Slab Pre-Treat Termite Service',active,yes,yes (builder batch context),one-time,n/a,1,cost-plus: (product oz = slab sf / 10 x 0.8 oz) x $/oz + labor (0.5 + sf/1500 h; 1-5 h) x $35 + drive (standalone only) + $15 equip + $25 compliance; / 0.5294; usage steps of 100 sf; context floors $191-$510,slab sqft; product; job context (standalone/builderBatch/sameTripAddOn),warranty (+$170); volume discount 5+/10+ (post-margin); label confirmed,0.5 h + 1 h per 1500 sf (min 1; max 5),Termidor SC $174.72/78 oz LINKED to products_catalog approved best price (only inventory-linked service),protocols.json termite,YES (db-bridge syncPreSlabContainerCostsFromCatalog; fail-open within [0.5x;2x]),none,$191 standalone (250 sf),context floors,none,47% (divisor 0.5294 after a 15% price cut),n/a,excluded from all %,no,exempt,retired,n/a,label confirmation required,v1 adapter baseline + drift test,only service with a live inventory link; fail-open silently keeps constants when the catalog row is unpriced,extend the pattern to the other product-driven services,none
termite_trenching,c8bf19f8-8426-4fd5-942e-3c607d731aa1,Termite Trenching Service (svcTrenching),Trenching,trenching (selectable; not instant),n/a (composer excludes),'Termite Trenching Service' (+ annual renewal $325),active,yes,yes,one-time (+ annual renewal),n/a,1 (+1 renewal/yr),per linear foot: max($600; dirt LF x $10 + concrete LF x $14) x depth mult x high-rate mult + product surcharge (chemical premium over Taurus x 1.45) + warranty adder %,perimeter LF (measured); concrete %/LF; product; rate; depth,warranty tier (+15%/+25%); custom overrides,none (LF price is not cost-plus),finished gallons = LF x 0.4 gal/ft-depth; oz = gal x 0.8 (fipronil) or 1.0 (bifenthrin); container costs are LITERALS (Termidor $375/78 oz vs catalog $174.72),protocols.json termite,none (trenching product table not linked; pre-slab table is),none,$600,$600,repellent + long warranty -> quote,n/a,n/a,excluded from all %,no,exempt,retired,n/a,label confirmation; manual review on overrides,trenching test (1),Termidor container cost 2.1x the catalog price -> $181 surcharge instead of ~$56 on a 200-LF job; Bifen/Talstar container sizes wrong (96 oz),link trenching product costs to the catalog like pre-slab,none
bora_care,f93eaa50-f047-4c28-bdab-4b1e643b5e1a,Bora-Care (svcBoracare),Bora-Care Wood Treatment Service,n/a (booking alias),n/a,'Bora-Care Wood Treatment Service',active,yes,yes,one-time,n/a,1,cost-plus: gallons = max(3; sf/275) x $91.98 + labor curve (2-6 h; multi-day 6-10 h over 4500 sf) x $35 + $17.50 equip; / 0.45; surface jobs on actual gallons + $150 minimum,attic/raw-wood sqft or surface LF x height,surface vs attic,labor curve min(6; max(2; 1.5 + sf/1000)) h,$91.98/gal at 275 sf/gal,protocols.json termite,none (catalog Bora-Care $91.98 matches literal today),none,$150 surface,attic 3-gal / 2-h floors,none,55%,n/a,excluded,no,exempt,retired,n/a,n/a,core golden master + v1 adapter,catalog base_price $1946 is a display anchor unrelated to the formula,link gal cost to catalog,none
foam_drill,78b76b34-51e5-4038-9e42-e70bb2a27210,Termite Foam Service (svcFoam),Termite Foam Service,n/a,n/a,'Termite Foam Service',active,yes,yes,one-time,n/a,1,cost-plus by drill-point tier: (cans x $39.08 + hours x $35 + $8 bits) / 0.45; no floor; >20 points fails closed,drill points (select 5/10/15/20),urgency; afterHours,1.0/1.5/2.0/3.0 h,1-4 cans Termidor Foam @ $39.08,protocols.json termite,none (catalog $39.08 matches),none,$182 (spot),none (floor removed 2026-06-25),20 points,55%,n/a,15% perk,no,taxable=true in catalog vs engine exempt,retired,n/a,n/a,foam tests,catalog taxability flag disagrees,fix flag,none
foam_recurring,3a3a2040-8858-43c7-9ea0-cf78acabdeb4,Recurring Termite Foam (svcFoamRecurring),Recurring Termite Foam Service,n/a,n/a,'Recurring Termite Foam Service',active,yes,yes,recurring,quarterly/bimonthly/monthly,4/6/12,one-time foam cost / 0.45 x cadence mult (0.90/0.85/0.80) per visit,drill points; cadence,none,same tiers,same,protocols.json termite,none,none,n/a,none,none,55% before cadence discount,n/a,excluded from tier % (standalone),NOT a qualifier,taxable=true in catalog vs engine no identity,retired,n/a,n/a,foam tests,4-stage rounding cascade; no tax identity,ok,none
termite_spot_treatment,cd744dca-d4f5-4bf6-9730-db61ae17207f,(v2 termite_foam),Termite Spot Treatment Service,n/a,n/a,'Termite Spot Treatment Service',active,yes,yes,one-time,n/a,1,v2 foam: points x 2/4 min + 10 min setup x $35 + material; / (1 - 0.62); 15% bundle discount with liquid; round to $5,points; access,bundle with liquid,2/4 min per point + 10 setup,per point,protocols.json termite,none,none,n/a,n/a,none,62%,n/a,excluded,no,exempt,retired,n/a,n/a,none direct,parallel v2 pricer for the same work as foam_drill,retire one,none
wdo_inspection,a5ce1d7e-4207-492b-a67f-118b89cadc83,WDO Inspection Service (svcWdo),WDO Inspection,n/a (not in quote form),composer SKIPS wdo,'WDO Inspection Service',active,yes,yes (commercial -> manual quote line),one-time,n/a,1,flat $250 (single terminal bracket),footprint (only for review flags),none,not modeled (observed 60 min n=9),none,protocols.json termite (wdo/termite conflated by matcher),none,none,$250,$250,n/a,n/a,n/a,WaveGuard member 100% credit via discounts catalog (waveguard_member_wdo),no,exempt,retired,n/a,n/a,audit golden case,catalog base_price $250 (prod) matches; 9 completed WDOs since 06-01 at $241.67 avg; termite_inspection row duplicates identity,retire termite_inspection,none
termite_inspection,bdbc1bc6-38b3-453c-871d-cfa38bef0298,n/a,Termite Inspection Service,n/a,n/a,same,archived,-,-,one-time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,none,duplicate of wdo_inspection (engine cross-matches the keys for credits),delete,none
rodent_bait_quarterly,e3c55bcb-ef11-4dc7-905f-9e721ec0b99f,Rodent Bait Station (svcRodentBait),Rodent Bait Stations,rodentBait (rodent_bait_quarterly),rodentBait,'Quarterly Rodent Bait Station Service',active,yes,yes (same brackets; commercial_rodent_bait),recurring,quarterly,4,per application by footprint bracket: <=1750 sf 4 stations $79 ... <=6750 sf 9 stations $129; +1 station/+$10 per 1000 sf above,footprint (homeSqFt/stories); NO station count input,none,report-only: 5 min/station + 20 drive x $35,report-only: $1.50/station/visit bait + $7.50/station/yr hardware,protocols.json rodent; service_product_usage 'Rodent Bait' (1 product),none,none,$79,n/a,ladder extends indefinitely,n/a,35% report-only,tier % (since 2026-08-29); manual NOT allowed,qualifier (rodent_waveguard config row),exempt,retired,$99 setup waived beside another qualifier; 5% prepay,missing/zero footprint prices the 2500-sf bracket silently (P2),rodent revisions + audit golden cases (no direct priceRodentBait test before this audit),margin 21% at Platinum by the engine's own model; setup fee $99 stand-alone only,fine; add footprint validation,none
rodent_bait_setup,a92e9d6d-9f9a-4718-b1fb-32f468d745df,(auto rider),Rodent Bait Station Setup Fee Service,n/a,n/a,'Bait Station Setup — one-time setup fee',active (rider),yes,yes,one-time,n/a,1,flat $99 when no other qualifying recurring service,none,none,none,none,none,none,none,$99,$99,n/a,n/a,n/a,excluded from all % (incl. 15% perk),no,taxable=true in catalog; taxed on commercial prepay,retired,NOT waived by prepay,n/a,migration tests only,no direct pricer test,keep,none
rodent_monitoring,e74ad6ea-55af-43c0-bb15-9fded6310e93,n/a,Quarterly Rodent Monitoring Service,n/a,n/a,n/a,archived (legacy monthly bait),-,-,recurring,monthly (label) / 4 visits (row),4,legacy $49-$69/mo score model (retired 2026-08-29; pinned for replays),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,legacy replay tests,frequency='monthly' with visits_per_year=4 (contradictory but archived),leave archived,none
rodent_trapping,fee1e488-1ce9-4c15-99ae-20b69a9111ca,Rodent Trapping Service (svcRodentTrap),Rodent Trapping,rodent_trapping (instant),composer SKIPS trapping,'Rodent Trapping Service',active,yes,yes,one-time (unlimited callbacks included),n/a,1 + unlimited follow-ups,flat $350 (+ home-size/lot/pressure adjustments; emergency x1.20 or +$75 min),homeSqFt; lot; pressure,emergency,not modeled (observed 92 min median n=7),none,protocols.json rodent,none,none,$350,$350,$795 ceiling before custom,n/a,n/a,15% perk? (one-time),no,exempt,retired,n/a,n/a,rodent revisions test,unlimited callbacks are unpriced (no reserve); 7 jobs since 06-01 realized $174/hr incl. drive,add a callback reserve to the cost view,Adam: unlimited callbacks confirmed?
rodent_trapping_followup,ff3ff8ae-2666-40df-a0d1-ae598f079f28,(auto),Rodent Trapping Follow-Up Visit Service,n/a,n/a,'Rodent Trapping Follow-Up Visit Service',active ($0),yes,yes,one-time,n/a,as needed,$0 (included),none,none,not modeled,none,none,none,none,$0,n/a,n/a,n/a,n/a,n/a,no,exempt,n/a,n/a,n/a,none,follow-up labor invisible to margin,report-only reserve,none
rodent_exclusion_only,2d19e134-f2b6-4318-ace9-353effc63fc2,Rodent Exclusion Service (svcExclusion V2),Exclusion / Rodent Exclusion Service,exclusion,composer SKIPS exclusion,'Rodent Exclusion Service',active,yes,yes,one-time,n/a,1,V2: mesh points $75/$150 + bird boxes $150/$210/$250 + linear mesh $14/$22 per LF; floors $195/$295; roof/story/access multipliers (or v1 per-point $50/$95/$195 with home-size minimums $395-$1295),entry point counts by type; LF of mesh; roof type; stories,waive $75 inspection,v2 calc: 5 min/point x roof x story + 30 setup (+45 screening) x $35 / (1 - 0.60) round to $5,per point,protocols.json rodent,none,none,$195,$195/$295,none,60% (v2 calc),n/a,15% perk,no,exempt,retired,n/a,n/a,v1 adapter baseline (1),three parallel exclusion pricers (v1; V2; calculateExclusionPrice),retire two,none
rodent_exclusion,3d449942-511c-40e2-a1e1-4a0eba772764,(bundle),Rodent Exclusion & Trapping Service,n/a,n/a,'Rodent Exclusion & Trapping Service',active,yes,yes,one-time,n/a,1,trapping + exclusion - 7% bundle (floor $895),as components,none,as components,as components,protocols.json rodent,none,none,$895,$895,none,n/a,n/a,bundle % only,no,exempt,retired,n/a,n/a,none,typical_materials_cost $75 is a display anchor,ok,none
rodent_trapping_exclusion,5890ce82-62d6-4779-82d3-70cf86c87268,(bundle),Rodent Trapping & Exclusion Service,n/a,n/a,same,active,yes,yes,one-time,n/a,1,same bundle,-,-,-,-,-,-,-,$895,$895,-,-,-,bundle %,no,taxable=true in catalog vs exempt,retired,n/a,n/a,none,duplicate identity with rodent_exclusion,merge,none
rodent_trapping_sanitation,73767c15-9836-48af-8825-9bf79cde46f1,(bundle),Rodent Trapping & Sanitation Service,n/a,n/a,same,active,yes,yes,one-time,n/a,1,trapping + sanitation - 5% (floor $895),-,-,-,-,-,-,-,$895,$895,-,-,-,bundle %,no,exempt,retired,n/a,n/a,none,none,ok,none
rodent_trapping_exclusion_sanitation,e5e33204-3aaf-49dd-b41b-b30b24588785,(bundle),Rodent Trapping; Exclusion & Sanitation Service,n/a,n/a,same,active,yes,yes,one-time,n/a,1,full remediation - 10% (floors $1195/$1495/$1995 by sanitation tier),-,-,-,-,-,-,-,$1195,tier floors,-,-,-,bundle %,no,exempt,retired,n/a,n/a,none,none,ok,none
rodent_sanitation_light,f4b0d8c9-c4a1-4455-bbc8-e3e1760a3c70,Rodent Sanitation tier light (svcRodentSanitation),Rodent Sanitation Service — Light,sanitation,composer SKIPS sanitation,'Rodent Sanitation Service — Light',active,yes,yes (0 sf -> manual quote),one-time,n/a,1,flat $395 incl. 300 sf; +$0.20/sf; +$12/cu ft debris,affected sqft (blank -> footprint fallback residential); debris cu ft; access,crawlspace/tight multipliers (heavy tier),120 min duration (catalog) not in price,none,protocols.json rodent,none,none,$395,$395,none,n/a,n/a,15% perk,no,taxable=true in catalog,retired,n/a,n/a,none (no pricer test),1 engine key -> 4 catalog rows; no test,add tests; single key,none
rodent_sanitation_standard,1371a231-967f-483f-9185-f93d4f2681f2,Rodent Sanitation standard,Rodent Sanitation Service — Standard,sanitation,n/a,same,active,yes,yes,one-time,n/a,1,$695 incl. 750 sf; +$0.30/sf; 10 cu ft incl.; +$12/cu ft,same,same,240 min (catalog),none,same,none,none,$695,$695,none,n/a,n/a,15% perk,no,taxable=true,retired,n/a,n/a,none,same,same,none
rodent_sanitation_heavy,1abf0320-8ad5-43ef-bf69-89de42a3b9c4,Rodent Sanitation heavy,Rodent Sanitation Service — Heavy,sanitation,n/a,same,active,yes,yes,one-time,n/a,1,$995 incl. 750 sf; +$0.55/sf; 25 cu ft incl.; +$12/cu ft; x1.15 crawlspace; x1.25 tight access,same,same,420 min (catalog),none,same,none,none,$995,$995,none,n/a,n/a,15% perk,no,taxable=true,retired,n/a,n/a,none,same,same,none
rodent_guarantee,428aace7-c5ae-4591-b6ea-eb798b96aa90,Rodent Guarantee Service (svcRodentGuarantee),Rodent Guarantee Service,n/a,n/a,'Rodent Guarantee Service',active (not bookable; duration 0),yes,yes,one-time (annual warranty),annual,1,flat $199/$249/$299 by home size/points; requires 4 completion attestations (fail-closed),homeSqFt; stories; sealed points; 4 checkboxes,none,none,none,none,none,none,$199,n/a,n/a,n/a,n/a,excluded from all %,no,exempt,retired,n/a,n/a,1 test,none,ok,none
rodent_wire_mesh,2f0d1427-5ac4-489e-bae2-12f646cc8c3f,(legacy; folded into Exclusion V2),Rodent Wire Mesh Exclusion Service,n/a,n/a,'Rodent Wire Mesh Exclusion Service',active,yes,yes,one-time,n/a,1,LF x $14-$24 by substrate; minimums $195-$395,LF; substrate,none,none,none,protocols.json rodent,none,none,$195,$195,none,n/a,n/a,15% perk,no,exempt,retired,n/a,n/a,2 tests,admin UI never sends the legacy RODENT_WIRE_MESH service (dead path from admin),retire legacy pricer,none
rodent_bird_box,fef4c721-ad54-48b9-b867-f0d66866e7a7,(legacy; folded into Exclusion V2),Roof-Entry Cover / Bird Box Service,n/a,n/a,'Roof-Entry Cover / Bird Box Service',active,yes,yes,one-time,n/a,1,per box $195/$225/$175/$295/$395,box type; quantity,none,none,none,protocols.json rodent,none,none,$175,n/a,none,n/a,n/a,15% perk,no,exempt,retired,n/a,n/a,2 tests,same dead path from admin,retire legacy pricer,none
rodent_inspection,01fb3d6b-9a16-45eb-915b-23129f9de1c8,(public only),Rodent Inspection Service,rodentInspection (instant),n/a,'Rodent Inspection Service',active,yes,yes,one-time,n/a,1,flat $75 creditable within 14 days (waived if approved total > $995),none,none,not modeled,none,none,none,none,$75,$75,n/a,n/a,n/a,credit not discount,no,taxable=true in catalog (commercial-helpers treats as taxable),retired,n/a,n/a,migration tests only,reachable from the public quote form only (not the admin builder),add to admin builder,none
rodent_general_one_time,b667b5c2-371b-4060-ae2c-a25d09b68776,n/a,Rodent Pest Control Service,n/a,n/a,'Rodent Pest Control Service',active (quote-selectable),yes,yes,one-time,n/a,1,none (no pricer),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,quote-selectable with no price path (call-booking keyword target),hide or map,Adam: retire?
trap_only_retainer_standard,98cece36-e1c9-4c15-99ae-20b69a9111ca,Trap-Only Retainer standard (svcTrapOnlyRetainer),Rodent Trapping Retainer,n/a,n/a,'Standard Trap-Only Retainer Service',active (not bookable),yes,yes,recurring,quarterly,4 (+2 callbacks),$495/yr or $49/mo; $199 setup; extra callbacks $125,plan; billing,callbacks used,none,none,none,none,none,$495,n/a,n/a,n/a,n/a,none,no,taxable=true in catalog,retired,n/a,n/a,none,billing construct with base_price NULL; monthly plan option contradicts the never-monthly ruling,confirm lane,Adam: monthly retainer allowed?
trap_only_retainer_plus,b7759e5c-bb30-4e97-ac6d-971a4ff79801,Trap-Only Retainer plus,same,n/a,n/a,'Plus Trap-Only Retainer Service',active,yes,yes,recurring,bimonthly,6 (+3 callbacks),$695/yr or $69/mo,same,same,none,none,none,none,none,$695,n/a,n/a,n/a,n/a,none,no,taxable=true,retired,n/a,n/a,none,same,same,same
trap_only_retainer_monthly,2ac96d17-46ff-43ea-8d97-613fc9b24e70,Trap-Only Retainer monthly,same,n/a,n/a,'Monthly Trap-Only Retainer Service',active,yes,yes,recurring,monthly,12 (+2 callbacks),$995/yr or $99/mo,same,same,none,none,none,none,none,$995,n/a,n/a,n/a,n/a,none,no,taxable=true,retired,n/a,n/a,none,same,same,same
bed_bug_treatment,b3f6b32d-65a1-4ece-9335-1e7cf1684c61,Bed Bug Treatment Service (svcBedbug),Bed Bug (Chemical/Heat),n/a,bedBug {CHEMICAL only; 5 required fields},'Bed Bug Treatment Service',active,yes,yes (occupancy multipliers),one-time,n/a,2-3 visits (chemical); 1 event + inspection (heat),chemical: (material $50.42/room x visits + labor minutes x $35) / 0.35 cost ratio; min $400 + $250/extra room; x severity/prep/occupancy/stories/urgency. heat: $1000/$850/$750 per room + equipment $150 + $75/room; subcontract x1.25,rooms (positive integer; fail-closed); method; severity; prepStatus; occupancyType,stories; footprint; equipment; heatScope; subcontractCost,visit1 45+30+30/room+20 drive; visit2 25+20/room+20 drive,PT Alpine WSG $220.53/500 g -> $50.42/room allowance (label verification flagged),protocols.json bed_bug,none (catalog Alpine WSG $163.56 vs literal $220.53 container price),none,$400,$400 + $250/room,rooms<=12 (schema) / none in engine; severe -> quote,65% (cost ratio 0.35),n/a,excluded from all %,no,taxable=true in catalog vs engine exempt,retired,n/a,severe/refused -> quote,bed bug test + v1 baseline,container cost literal 35% above the catalog best price; taxability flag,link material cost to catalog,none
flea_tick,6b28c71d-adbf-4f0e-b70a-f175c811680f,Flea Control Service (svcFlea),Flea Treatment / Flea Elimination Package,flea (pinned to flea_knockdown_single),flea {offerKey; fleaComplexity REQUIRED},'Flea Control Service',active,yes,yes,one-time,n/a,1 (single) or 2 (package),flat $225 initial (+$125 follow-up in package) + footprint/lot/complexity adjustments; floors $185/$95; package floor $280; exterior tiers $75-$240 by sqft,footprint; offer; complexity; exterior area + source,urgency (rush premium); recurringCustomer perk,not modeled,none,protocols.json,none,none,$185,$185/$95/$280,exterior >20000 sf -> custom quote,n/a,n/a,15% perk,no,exempt,retired,n/a,exterior area source unknown -> review,flea test,engine default offer (2-visit package) differs from the single-visit catalog row; lead-webhook defaults complexity to light,align offer keys,Adam: which flea offer is the default?
fire_ant,95254b85-8ebd-40e0-87aa-82eb5a93c967,n/a (falls into pest via 'ant'),Fire Ant Treatment Service,n/a,pest/oneTimePest via 'ant',n/a,active (quote-selectable),yes,yes,one-time,n/a,1,none (NO PRICER),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,quote-selectable with no price path; keyword tables route 'fire ant' to general pest,add a pricer or hide,Adam: price?
bee_wasp_removal,f2c2ef15-dd96-4885-b69c-cd19ba0c4e39,Stinging (svcWasp),Stinging Insect / Bee / Wasp Nest Removal,stinging,stinging {species; tier; removal REQUIRED},'Bee / Wasp Nest Removal Service',active,yes,yes,one-time,n/a,1,tiered $150/$250/$435/$775 + add-ons (aggressiveness $75-$200; height $75/$150; confined $100/$200; same-day $75; urgent x1.5; after-hours $75); removal $75-$450; free with recurring pest,species; tier; removal,aggressive/height/confined,v2 calc: 15 + 8/nest min x $35 / (1 - 0.68),none,protocols.json,none,none,$150,n/a,none,68% (v2),n/a,free with recurring pest,no,exempt,retired,n/a,admin UI sends NO species/tier/removal -> all six defaulted (PAPER_WASP tier 2 no removal),1 test + v1 baseline,admin builder cannot enter species/tier/removal -> every admin wasp quote is $250 tier-2 paper wasp,add the inputs to the builder,none
mud_dauber_removal,3d0ed745-d099-415c-bdbd-41a4e36e67a1,n/a,Mud Dauber Nest Removal Service,n/a,n/a,n/a,active (quote-selectable),yes,yes,one-time,n/a,1,none (NO PRICER),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,no price path,hide or map to stinging,Adam: price?
tick_control,babe27a7-3c99-414f-8bea-a32a1f5cce20,n/a,Tick Control Service,n/a,n/a,n/a,active (quote-selectable),yes,yes,one-time,n/a,1,none (NO PRICER; flea pricer covers 'tick' keyword only in lead automation),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,no price path,map to flea exterior or hide,Adam: price?
wildlife_trapping,1ae53d79-7034-4933-a185-9711f374df6c,n/a,Wildlife Trapping Service,n/a,n/a,n/a,active (quote-selectable),yes,yes,one-time,n/a,1,none (NO PRICER),-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,retired,n/a,manual,none,no price path,hide,Adam: offered?
general_appointment,b397f70b-df23-42b5-a6a7-f79990665689,n/a,Waves Pest Control Appointment Service,n/a,n/a,'Waves Pest Control Appointment Service',active (internal),yes,yes,one-time,n/a,1,none,-,-,-,-,-,-,-,-,-,-,-,-,none,no,exempt,n/a,n/a,manual,none,unpriced appointment lane,ok,none
waveguard_initial_setup,eba0685e-8d97-4e6f-bd12-04091bd1cef4,(auto $99 setup line),WaveGuard Membership Setup,n/a,n/a,'WaveGuard Membership Setup' / '... Setup + First Application',active (billing construct),yes,no,one-time,n/a,1,flat $99 (PEST.initialFee) on pest/mosquito recurring; waived for annual prepay,none,none,none,none,none,none,none,$99,$99,n/a,n/a,n/a,none,no,exempt,retired,waived,n/a,setup-fee tests,amount lives in code (constants.js:192 + estimate-converter.js WAVEGUARD_SETUP_FEE) not in base_price; year1Total in the engine summary EXCLUDES it (PRICE-004),ok,none
waveguard_membership,7eeccd4c-0ab1-416e-afbd-844dc8629385,n/a,WaveGuard Membership,n/a,n/a,n/a,active (billing construct; duration 0),yes,no,recurring,monthly (label),NULL,none (tier is derived; no membership fee),-,-,-,-,-,-,-,-,-,-,-,-,none,n/a,exempt,n/a,n/a,n/a,none,label says monthly; there is no monthly billing by ruling,rename/retire,Adam: retire the row?
commercial_pest,(no catalog row),Commercial pest (isCommercial + risk type),Commercial Pest Control,pest on a commercial profile,pest + is_commercial,'Commercial Pest Control',engine-only (no services row),no,yes,recurring,monthly baseline (risk-type 4/6/12; admin override),4/6/12,cost buildup: exterior (material $4/visit + labor 15 min + 4 min/100 LF perimeter) + interior (material $2 + $1.50/1000 sf; labor 10 min + 6 min/1000 sf) + 10 min overhead + 15 min drive x $35; + $120 admin; / (1 - 0.45),building sqft (footprint) -> perimeter; risk type,interior on/off; cadence override; risk multipliers,as listed,as listed (literals),protocols.json pest,none,none,$900/yr reference (report-only),disarmed,>30000 sf low confidence,45%,n/a,none (no WaveGuard %); 5% prepay only,no,TAXABLE 7% (nonresidential_pest_control),retired,5% prepay with blended tax,footprint unknown -> quote required,commercial auto-price + safety gate tests,no catalog identity (books with service_id NULL); per-application quotes render pre-tax (TAX-001),add catalog rows for commercial_*,Adam: commercial tax copy
commercial_lawn,(no catalog row),Commercial lawn,Commercial Turf Treatment Program,lawn on a commercial profile,lawn + is_commercial,'Commercial Turf Treatment Program',engine-only,no,yes,recurring,8 apps (override 4/6/8/10/12),8,cost buildup: $45/1000 sf/yr material + labor (20 + 1.5/1000 sf min) + 15 drive + $3 callback reserve/visit + $120 admin; / (1 - 0.45),measured turf sqft (satellite or manual),cadence override,as listed,$45/1000 sf/yr literal,protocols.json lawn,none,none,$1200/yr reference,disarmed,>60000 sf low confidence,45%,n/a,none; 5% prepay,no,exempt (lawn_spraying_or_treatment),retired,5% prepay,turf unknown -> quote,commercial tests,no catalog identity,add catalog rows,none
commercial_tree_shrub,(no catalog row),Commercial T&S,Commercial Tree & Shrub,treeShrub commercial,treeShrub + is_commercial,'Commercial Tree & Shrub',engine-only,no,yes,recurring,6,6,cost buildup: $40 + $0.12/sf bed + $6/tree material; labor 25 + 0.9/100 sf + 1.5/tree + 10 overhead + 15 drive; $120 admin; / 0.55,bed area; tree count,none,as listed,as listed,protocols.json tree_shrub,none,none,$900 reference,disarmed,>20000 sf bed low confidence,45%,n/a,none; 5% prepay,no,exempt,retired,5% prepay,bed unknown -> quote,commercial tests,no catalog identity,add catalog rows,none
commercial_mosquito,(no catalog row),Commercial mosquito,Commercial Mosquito,mosquito commercial,mosquito + is_commercial,'Commercial Mosquito',engine-only,no,yes,recurring,9,9,cost buildup: $8 + $0.60/1000 sf material; labor 20 + 1.0/1000 sf + 8 overhead + 15 drive; $120 admin; / 0.55,treatable area (lot-derived),none,as listed,as listed,protocols.json mosquito,none,none,$720 reference,disarmed,>80000 sf low confidence,45%,n/a,none; 5% prepay,no,TAXABLE 7%,retired,5% prepay,always prices (lot-derivable),commercial tests,no catalog identity,add catalog rows,none
